lemmatized_cue,cue,n
(s)agacer,agacer,584
(s)amuser,amus,946
(s)amuser,amuser,89
(s)entendre,entendant,74
(s)entendre,entendre,11180
(s)enthousiasmer,enthousiasmait,9
(s)enthousiasmer,enthousiasme,601
(s)enthousiasmer,enthousiasment,7
(s)exclamer,exclame,716
(s)exclamer,exclamer,480
(s)indigner,indigne,9
(s)indigner,indigner,55
(s)indigner,indigné,515
(s)inquiéter,inquiet,1151
(s)inquiéter,inquiétant,1
(s)inquiéter,inquiéter,1317
(s)insurger,insurg,693
(s)insurger,insurger,31
(s)insurger,insurgé,186
(s)interroger,interroger,2737
(s)interroger,interrogé,7
(s)étonner,étonne,2424
(s)étonner,étonner,59
(s)étonner,étonné,66
(s)étrangler,étrangle,98
(s)étrangler,étrangler,10
(se)désoler,désole,1010
(se)désoler,désoler,71
(se)désoler,désolé,48
(se)lamenter,lamente,185
(se)lamenter,lamenter,46
(se)plaindre,plaindre,2212
(se)réjouir,réjouir,5273
(se)réjouir,réjouissant,1
(se)souvenir,souvenir,3326
abonder,abond,829
abonder,abonda,1
abonder,abondant,1
abonder,abonder,237
accuser,accuse,2904
accuser,accuser,6148
admettre,admettant,340
admettre,admettre,11957
admettre,admis,4
adresser,adresse,54
adresser,adresser,1484
affirmer,affirme,56942
affirmer,affirmer,63812
ajouter,ajoute,24285
ajouter,ajouter,35906
aller,aller,1105
analyser,analyse,6831
analyser,analysent,28
analyser,analyser,216
annoncer,annonce,909
annoncer,annoncer,57376
appeler,appeler,5762
arguer,arguer,1225
assurer,assure,29556
assurer,assurer,26844
asséner,assène,554
asséner,asséna,1
asséner,asséner,170
avancer,avance,4202
avancer,avancer,750
avancer,avancé,34
avertir,avertir,5921
avertir,avertissant,170
avoir,a,6
avoir,avoir,3422
avouer,avoua,55
avouer,avouant,1
avouer,avoue,3594
avouer,avouer,1042
calculer,calcule,517
calculer,calculent,1
calculer,calculer,55
citer,citant,1
citer,cite,1110
citer,citer,2010
citer,cité,1029
commencer,commencer,522
commencer,commençant,1
commenter,commente,12168
commenter,commenter,7159
conclure,concluant,1
conclure,conclure,17874
concéder,concéder,3004
confier,confiant,8
confier,confier,16894
confirmer,confirma,116
confirmer,confirme,12132
confirmer,confirment,417
confirmer,confirmer,12054
considérer,considérant,7
considérer,considérer,13399
constater,constate,20217
constater,constater,6831
craindre,craignant,492
craindre,craindre,4670
craindre,craint,1
critiquer,critiquant,2
critiquer,critique,1841
critiquer,critiquer,2241
croire,croire,11395
croire,croyant,1
demander,demanda,789
demander,demandant,2954
demander,demande,10766
demander,demander,15259
demeurer,demeurant,328
demeurer,demeure,47
demeurer,demeurer,524
devenir,devenir,640
devenir,devenu,13
devoir,devant,2
devoir,devoir,2171
devoir,dut,10
dire,dire,117264
dire,disant,1421
dire,dit,1
donner,donne,3956
donner,donner,278
donner,donné,1
déclarer,déclarant,1
déclarer,déclare,26743
déclarer,déclarer,159832
décrire,décrire,3841
défendre,défendant,322
défendre,défendre,5857
défendre,défendu,3
dénoncer,dénoncer,11724
déplorer,déplore,8187
déplorer,déplorer,969
déplorer,déploré,3555
détailler,détaille,1732
détailler,détailler,372
enchaîner,enchaîne,556
enchaîner,enchaînent,11
enchaîner,enchaîner,314
espérer,espérant,557
espérer,espérer,8007
estimer,estimant,2
estimer,estime,87991
estimer,estiment,3174
estimer,estimer,52181
estimer,estimé,15
exiger,exiger,2285
exiger,exigé,7
expliquer,explique,117726
expliquer,expliquer,41815
exposer,expose,1169
exposer,exposer,849
exposer,exposé,1009
exprimer,exprimant,1
exprimer,exprime,1576
exprimer,exprimer,7015
faire,faire,750
faire,fait,2198
féliciter,félicitant,5
féliciter,félicite,1873
féliciter,féliciter,147
féliciter,félicité,1057
glisser,glisse,754
glisser,glisser,177
hurler,hurlant,2
hurler,hurle,68
hurler,hurler,25
illustrer,illustre,746
illustrer,illustrer,613
indiquer,indiqua,315
indiquer,indique,27419
indiquer,indiquer,62828
informer,informe,22
informer,informent,18
informer,informer,2184
insister,insiste,11081
insister,insister,1254
insister,insisté,6896
inviter,invitant,13
inviter,invite,910
inviter,inviter,39
inviter,invité,230
ironiser,ironisaient,5
ironiser,ironise,2618
ironiser,ironiser,1631
juger,juge,7736
juger,jugeant,1124
juger,juger,9020
justifier,justifiant,171
justifier,justifient,75
justifier,justifier,5387
laisser,laisse,3282
laisser,laisser,429
lancer,lance,7
lancer,lancer,15903
lire,lire,1214
lire,lit,431
lire,lu,599
lâcher,lâche,2375
lâcher,lâcher,354
marmonner,marmonner,21
marmonner,marmonné,14
marteler,martela,5
marteler,martelant,47
marteler,marteler,1631
marteler,martelé,1558
marteler,martèle,2
menacer,menace,57
menacer,menacer,149
menacer,menaça,1
menacer,menaçant,2
mentionner,mentionne,267
mentionner,mentionner,576
mettre,mettre,1644
murmurer,murmura,29
murmurer,murmure,332
murmurer,murmurer,133
noter,note,13612
noter,noter,5092
observer,observe,11430
observer,observer,4744
ordonner,ordonne,680
ordonner,ordonner,34
passer,passer,580
penser,pense,10401
penser,penser,7988
plaider,plaidant,1
plaider,plaide,3992
plaider,plaider,3389
poursuivre,poursuivant,1
poursuivre,poursuivre,17662
pouvoir,peut,1
pouvoir,pouvoir,2363
prendre,prenant,2
prendre,prendre,883
proférer,profère,14
proférer,proférer,76
promettre,promettre,5758
proposer,proposant,1
proposer,propose,10223
proposer,proposer,6957
protester,protesta,24
protester,proteste,1054
protester,protester,1083
préciser,précisa,403
préciser,précise,36129
préciser,préciser,44310
prédire,prédire,2382
prédire,prédisant,43
présenter,présenter,728
prétendre,prétendant,1
prétendre,prétendre,2444
prévenir,prévenir,15128
prévenir,prévenu,163
prévoir,prévoir,8330
publier,publier,561
raconter,raconte,19826
raconter,raconter,3512
railler,raille,135
railler,railler,81
rappeler,rappeler,53420
rapporter,rapportant,99
rapporter,rapporte,3421
rapporter,rapporter,1895
recommander,recommand,729
recommander,recommander,732
reconnaître,reconnaissant,3
reconnaître,reconnaître,34570
redouter,redouta,1
redouter,redoutant,112
redouter,redoute,235
redouter,redouter,602
regretter,regretta,1
regretter,regrette,2643
regretter,regretter,143
regretter,regretté,511
relater,relate,1187
relater,relater,433
relever,relever,7119
remarquer,remarque,2471
remarquer,remarquer,7166
renchérir,renchérir,2895
reprendre,reprendre,942
reprocher,reprochant,16
reprocher,reproche,2436
reprocher,reprochent,4
reprocher,reprocher,161
reprocher,reproché,5
revenir,revenir,647
revenir,revenu,74
réagir,réagir,6397
réagir,réagissant,1
réclamer,réclame,127
réclamer,réclamer,2939
répliquer,réplique,128
répliquer,répliquer,2594
répondre,répondant,8
répondre,répondre,24533
répéter,répète,2492
répéter,répéter,510
résumer,résume,16992
résumer,résumer,1270
résumer,résumé,2215
rétorquer,rétorquaient,1
rétorquer,rétorque,2598
rétorquer,rétorquer,2026
révéler,révéler,6932
saluer,salue,1095
saluer,saluer,3592
savoir,savait,1
savoir,savoir,27565
signaler,signale,2116
signaler,signaler,49
souhaiter,souhaite,8551
souhaiter,souhaiter,10246
souhaiter,souhaité,3
soulever,soulevant,44
soulever,soulever,691
souligner,souligne,42991
souligner,souligner,39543
soupirer,soupira,25
soupirer,soupire,2043
soupirer,soupirer,231
soupirer,soupiré,112
sourire,souri,129
sourire,souriant,2
sourire,sourire,2868
soutenir,soutenir,7899
suggérer,suggérer,6768
tenir,tenir,1272
trancher,tranche,7
trancher,trancher,202
trancher,tranché,526
trouver,trouve,2783
trouver,trouver,4544
tweeter,tweete,2
tweeter,tweeter,32
tweeter,tweeté,842
témoigner,témoigne,6942
témoigner,témoigner,1891
valoir,valant,45
valoir,valoir,7120
valoir,valu,6
venir,venant,5
venir,venir,1408
venir,vint,1
voir,voir,817
voir,voyant,14
voir,vu,2
vouloir,veulent,1
vouloir,veut,2
vouloir,vouloir,13042
écrire,écrire,35355
écrire,écrit,1
énoncer,énoncer,571
énoncer,énonçant,12
évoquer,évoque,3754
évoquer,évoquer,6253
être,sera,3
être,soit,5218
être,être,10399
