OCCUP_M;OCCUP_F;GROUPE;GROUPE_CODE;PCS;PCS_CODE;PCS_DETAIL
exploitant agricole;exploitante agricole;Agriculteurs exploitants / Agricultrices exploitantes;1;Exploitants / Exploitantes de l’agriculture, sylviculture, pêche et aquaculture ;10;
agriculteur;agricultrice;Agriculteurs exploitants / Agricultrices exploitantes;;Exploitants / Exploitantes de l’agriculture, sylviculture, pêche et aquaculture ;10;10A
cultivateur;cultivatrice;Agriculteurs exploitants / Agricultrices exploitantes;;Exploitants / Exploitantes de l’agriculture, sylviculture, pêche et aquaculture ;10;10A
exploitant agricole;exploitante agricole;Agriculteurs exploitants / Agricultrices exploitantes;;Exploitants / Exploitantes de l’agriculture, sylviculture, pêche et aquaculture ;10;10A
horticulteur;horticultrice;Agriculteurs exploitants / Agricultrices exploitantes;;Exploitants / Exploitantes de l’agriculture, sylviculture, pêche et aquaculture ;10;10A
maraîcher;maraîchère;Agriculteurs exploitants / Agricultrices exploitantes;;Exploitants / Exploitantes de l’agriculture, sylviculture, pêche et aquaculture ;10;10A
arboriculteur;arboricultrice;Agriculteurs exploitants / Agricultrices exploitantes;;Exploitants / Exploitantes de l’agriculture, sylviculture, pêche et aquaculture ;10;10A
viticulteur;viticultrice;Agriculteurs exploitants / Agricultrices exploitantes;;Exploitants / Exploitantes de l’agriculture, sylviculture, pêche et aquaculture ;10;10A
éleveur;éleveuse;Agriculteurs exploitants / Agricultrices exploitantes;;Exploitants / Exploitantes de l’agriculture, sylviculture, pêche et aquaculture ;10;10A
bûcheron;bûcheronne;Agriculteurs exploitants / Agricultrices exploitantes;;Exploitants / Exploitantes de l’agriculture, sylviculture, pêche et aquaculture ;10;10B
exploitant forestier;exploitante forestière;Agriculteurs exploitants / Agricultrices exploitantes;;Exploitants / Exploitantes de l’agriculture, sylviculture, pêche et aquaculture ;10;10B
élagueur;élagueuse;Agriculteurs exploitants / Agricultrices exploitantes;;Exploitants / Exploitantes de l’agriculture, sylviculture, pêche et aquaculture ;10;10B
marin-pêcheur;marin-pêcheuse ;Agriculteurs exploitants / Agricultrices exploitantes;;Exploitants / Exploitantes de l’agriculture, sylviculture, pêche et aquaculture ;10;10C
ostréiculteur;ostréicultrice;Agriculteurs exploitants / Agricultrices exploitantes;;Exploitants / Exploitantes de l’agriculture, sylviculture, pêche et aquaculture ;10;10C
pisciculteur;piscicultrice;Agriculteurs exploitants / Agricultrices exploitantes;;Exploitants / Exploitantes de l’agriculture, sylviculture, pêche et aquaculture ;10;10C
jardinier;jardinière;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Artisans / Artisanes ;21;21A
maçon;maçonne;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Artisans / Artisanes ;21;21B
charpentier;charpentière;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Artisans / Artisanes ;21;21B
zingueur;zingueuse;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Artisans / Artisanes ;21;21B
menuisier;menuisière;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Artisans / Artisanes ;21;21B
plombier;plombière;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Artisans / Artisanes ;21;21B
électricien;électricienne;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Artisans / Artisanes ;21;21B
mécanicien;mécanicienne;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Artisans / Artisanes ;21;21C
carossier;carossière;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Artisans / Artisanes ;21;21C
couturier;couturière;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Artisans / Artisanes ;21;21C
tapissier;tapissière;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Artisans / Artisanes ;21;21C
décorateur;décoratrice;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Artisans / Artisanes ;21;21C
cordonnier;cordonnière;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Artisans / Artisanes ;21;21C
bijoutier;bijoutière;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Artisans / Artisanes ;21;21C
graveur;graveuse;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Artisans / Artisanes ;21;21C
luthier;luthière;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Artisans / Artisanes ;21;21C
boucher;bouchère;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Artisans / Artisanes ;21;21D
traiteur;traiteuse;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Artisans / Artisanes ;21;21D
charcutier;charcutière;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Artisans / Artisanes ;21;21D
fromager;fromagère;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Artisans / Artisanes ;21;21D
boulanger;boulangère;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Artisans / Artisanes ;21;21D
confiseur;confiseuse;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Artisans / Artisanes ;21;21D
